## Math 4MB3 Lecture Schedule 2019
lecnum, weeknum, year, month, day, topic, comment, attendance
01,1,2019,1,07,Epidemic Modelling Intro,[Course information](../handouts/4mbinfo_2019.pdf),
02, ,2019,1,09,SI Model,,
03, ,2019,1,10,SIR Model,,
04,2,2019,1,14,SIR Model II,,
05, ,2019,1,14,LaTeX Intro,[LaTeX examples](latexexamples.zip),
06, ,2019,1,16,R Intro,[R examples](Rexamples.R),
07,3,2019,1,21,R Intro II,[R examples](Rexamples.R),
08, ,2019,1,21,Epidemic Data,,
09, ,2019,1,28,Epidemic Data II,,
10,4,2019,1,28,Epidemic Data III,,
11, ,2019,1,30,Epidemic Data Tools,,
12, ,2019,2, 4,Epidemic Data Tools II,,
13,5,2019,2, 4,Mechanistic Modelling of Recurrent Epidemics,,
14,6,2019,2,11,Mechanistic Modelling of Recurrent Epidemics II,,
15, ,2019,2,11,Mechanistic Modelling of Recurrent Epidemics III,,
16, ,2019,2,13,Mechanistic Modelling of Recurrent Epidemics IV,,
17,7,2019,2,25,Mechanistic Modelling of Recurrent Epidemics V,,
18, ,2019,2,25,$\R_0$,,
19, ,2019,2,27,$\R_0$ II,,
20,8,2019,3, 4,Space I,,
21, ,2019,3, 4,Space II,,
22, ,2019,3, 6,Space III,,
23,9,2019,3,11,TEST,,
24, ,2019,3,13,Space IV,,
25,10,2019,3,18,Space V,,
